playerId,username,betId,warId,factionId,factionName,xanaxAmount,betAmount,odds,potentialPayout,status,timestamp,placedAt
3520571,VanillaScoop,YAMN33F0,28728,46303,Lusty Love House,1,744983,1.67,1244122,pending,1754167865797,2025-08-02T20:51:05.797Z
3520571,VanillaScoop,AC8GYDRY,28732,51541,Static Disturbance,1,744983,3.25,2421195,pending,1754172948819,2025-08-02T22:15:48.826Z
3576736,FlowerJar,7GV49NG4,28736,49695,The Shogunate Spy,1,744983,1.33,990827,confirmed,1754168014832,2025-08-02T20:53:34.832Z
3576736,FlowerJar,LUHHY64P,28682,9100,The Black Hand,1,744983,1.5,1117475,confirmed,1754180086640,2025-08-03T00:14:46.648Z
9999999,TestPlayer,TEST123,99999,99999,Test Faction,1,1000000,2,2000000,confirmed,1754170184292,2025-08-02T21:29:44.295Z
9999999,TestPlayer,TEST123,99999,99999,Test Faction,1,1000000,2,2000000,pending,1754170329044,2025-08-02T21:32:09.044Z
9999999,TestPlayer,TEST123,99999,99999,Test Faction,1,1000000,2,2000000,pending,1754170390810,2025-08-02T21:33:10.810Z
