playerId,username,factionId,factionName,totalBets,totalVolume,wins,losses,winRate
3520571,Player3520571,15239,DX Medical,2,300973132,0,0,0
3520571,Player3520571,36421,The Waystation,2,28309354,0,0,0
3520571,Player3520571,52693,FiveWill 1,2,8939796,0,0,0
3566110,Player3566110,8706,Carbon,1,744983,0,0,0
